; GeoPIXE tabulated mass attenuation coefficients.
; Chantler FFAST photo-absorption, via the xraydb package.
; Source: NIST FFAST, C.T. Chantler et al.
; Photoabsorption only; excludes coherent/incoherent scattering.
; Unlike XCOM and Scofield this set extends below 1 keV, which
; is the whole light-element range. Requests outside the
; per-element Range must be refused, not extrapolated.
;
Dataset    FFAST
Reference  C.T. Chantler, J. Phys. Chem. Ref. Data 24 (1995) 71; 29 (2000) 597; NIST FFAST
Quantity   photoelectric mass attenuation coefficient
Units      keV cm2/g
Elements   92
;
; Edge discontinuities are encoded as repeated abscissae:
; two rows with near-identical energy bracket a jump. Never
; interpolate across such a pair.
;
Element    H     1     1.007800
Range      1.005907E-02 2.998741E+01
Npoints    807
Data
  6.478106E+00  1.177100E-02
  6.542887E+00  1.137400E-02
  6.608316E+00  1.099000E-02
  6.674399E+00  1.061900E-02
  6.741143E+00  1.026100E-02
  6.808555E+00  9.914100E-03
  6.876640E+00  9.579300E-03
  6.945406E+00  9.255800E-03
  7.014861E+00  8.943300E-03
  7.085009E+00  8.641300E-03
  7.155859E+00  8.349500E-03
  7.227418E+00  8.067500E-03
  7.299692E+00  7.795000E-03
  7.372689E+00  7.531800E-03
  7.446415E+00  7.277400E-03
  7.520879E+00  7.031600E-03
  7.596088E+00  6.794100E-03
  7.672049E+00  6.564600E-03
  7.748769E+00  6.342900E-03
  7.826257E+00  6.128600E-03
  7.904520E+00  5.921600E-03
  7.983565E+00  5.721600E-03
  8.063400E+00  5.528300E-03
  8.144034E+00  5.341600E-03
  8.225474E+00  5.161100E-03
  8.307729E+00  4.986800E-03
  8.390806E+00  4.818300E-03
  8.474714E+00  4.655600E-03
  8.559461E+00  4.498300E-03
  8.645056E+00  4.346300E-03
  8.731506E+00  4.199500E-03
  8.818821E+00  4.057600E-03
  8.907009E+00  3.920500E-03
  8.996079E+00  3.788100E-03
  9.086040E+00  3.660100E-03
  9.176900E+00  3.536500E-03
  9.268669E+00  3.417000E-03
  9.361356E+00  3.301600E-03
  9.454969E+00  3.190000E-03
  9.549519E+00  3.082300E-03
